Date,BBAS3.SA,BPAC11.SA,CURY3.SA,ENGI11.SA,GOOGL,ITUB4.SA,MBRF3.SA,MSFT,MULT3.SA,NVDA,PRIO3.SA,RAIL3.SA,RDOR3.SA,RENT3.SA,SUZB3.SA,TEND3.SA,WEGE3.SA,IBOVESPA,CDI
2021-02-22,9.485825538635254,22.690994262695312,6.098413467407227,32.218570709228516,101.81022644042969,16.146793365478516,8.494039535522461,224.54002380371094,16.467437744140625,14.298055648803711,18.408432006835938,18.003774642944336,59.03190994262695,51.27216339111328,67.1304931640625,23.709604263305664,36.654170989990234,112668.0,100.0
2021-02-23,10.165962219238281,22.945457458496094,6.15374231338501,31.965307235717773,102.10063934326172,17.180795669555664,8.68986701965332,223.3527069091797,16.434734344482422,14.085161209106445,17.72153663635254,18.352720260620117,60.313045501708984,51.448421478271484,66.89472961425781,23.790159225463867,37.07069396972656,115227.0,100.04052615523831
2021-02-24,10.125871658325195,23.06943130493164,6.202922821044922,31.623064041137695,103.27474975585938,16.928600311279297,9.050926208496094,224.57827758789062,16.246673583984375,14.440725326538086,17.443981170654297,18.15467071533203,60.504390716552734,50.81055450439453,66.15252685546875,23.996017456054688,38.417755126953125,115668.0,100.08106873416921
2021-02-25,9.841906547546387,22.60181999206543,6.030788421630859,30.63056755065918,99.91156768798828,16.398977279663086,8.677628517150879,219.2546844482422,16.41838264465332,13.254016876220703,16.755088806152344,17.588808059692383,58.932106018066406,50.239845275878906,64.71176147460938,23.89756202697754,35.44890594482422,112256.0,100.12162774344857
2021-02-26,9.370859146118164,22.258182525634766,5.87095308303833,29.89133644104004,100.20693969726562,16.20051383972168,8.506279945373535,222.5005645751953,16.091318130493164,13.659379959106445,16.6951847076416,17.070104598999023,57.484588623046875,48.678768157958984,63.890968322753906,22.868267059326172,34.58484649658203,110035.0,100.162203189735
2021-03-01,9.307384490966797,22.338655471801758,5.760295391082764,29.343746185302734,102.57347106933594,15.715168952941895,8.757184028625488,226.86669921875,15.846026420593262,13.786118507385254,17.61770248413086,17.05124282836914,58.41632080078125,49.652339935302734,65.0435791015625,23.181528091430664,34.71809387207031,110335.0,100.20279507968978
2021-03-02,9.664849281311035,22.24948501586914,5.698819160461426,29.261608123779297,102.31673431396484,16.3496150970459,8.983610153198242,223.92721557617188,16.181262969970703,13.352368354797363,17.106525421142578,17.258724212646484,57.59272766113281,49.182342529296875,64.20531463623047,22.99357032775879,34.2996940612793,111540.0,100.2434034199769
2021-03-03,9.684892654418945,21.951519012451172,5.508244514465332,29.439571380615234,99.68656921386719,16.38766860961914,9.063164710998535,217.8854522705078,16.23031997680664,12.753288269042969,17.89525604248047,17.43791389465332,56.6110725402832,49.366981506347656,64.17913055419922,22.823514938354492,34.27297592163086,111184.0,100.28402821726304
2021-03-04,10.035675048828125,21.368635177612305,5.7357048988342285,30.15143585205078,100.80266571044922,16.901569366455078,8.97748851776123,217.0907440185547,16.696378707885742,12.320531845092773,18.56817626953125,18.720531463623047,56.5029182434082,51.12948226928711,64.26644134521484,22.49234962463379,32.594947814941406,112690.0,100.3246694782176
2021-03-05,10.222752571105957,21.09895133972168,5.815624237060547,30.055604934692383,103.93191528320312,17.529672622680664,9.167198181152344,221.75372314453125,17.481325149536133,12.411417961120605,19.979907989501953,19.154354095458984,55.30500030517578,51.0539436340332,66.44940185546875,23.539548873901367,32.5103759765625,115202.0,100.36532720951266
2021-03-08,9.755045890808105,19.656970977783203,5.317669868469238,28.85091781616211,99.49278259277344,16.971364974975586,9.571093559265137,217.72268676757812,16.761789321899414,11.546658515930176,18.969532012939453,17.63596534729004,51.711158752441406,46.26160430908203,65.81198120117188,21.83896827697754,30.778915405273438,110612.0,100.40600141782302
